Rotorcopter	Falling cabin drawbridge	Release and pickup	Walk over the enignes
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
3.335085766	2.944346479	3.527730004	2.916313712
			
			
			
			
			
			
			
			
			
			
			
3.342765501	2.955530828	3.493498457	2.872812911
			
3.335410773	2.944819802	3.490795419	2.878986851
3.336793821	2.946833998	3.491303722	2.913647928
3.38645969	3.019164674	3.509557117	2.83613374
			
			
			
2.892754389	3.167957985	3.408322867	2.946836499
			
2.887817334	3.155968878	3.406064785	2.952660638
2.888745701	3.158223318	3.406489396	2.987733479
2.922096088	3.239211144	3.421743004	2.912222716
2.979431357	2.859085297	3.411014806	3.05725534
3.016609447	2.929654042	3.426616456	2.983510982
3.017726351	2.931774067	3.42708516	3.020394767
			
3.011841067	2.920603049	3.424615422	3.026059605
			
			
			
			
2.892975088	3.16849393	3.370785813	2.908938148
2.893914279	3.170774654	3.371175789	2.944168973
2.927661063	3.252725087	3.385188306	2.866557858
2.888964423	3.15875446	3.369120484	2.950015409
2.922331535	3.239782902	3.382975351	2.873069624
2.923333527	3.242216132	3.383391404	2.90942095
2.959382904	3.329758165	3.398360016	2.827799228
3.017989508	2.932273573	3.387827698	2.98077357
			
			
			
			
			
			
			
			
			
			
			
			
			
			
3.180104656	2.908441803	3.536947499	3.110618458
3.229393478	2.547589392	3.52368779	3.246514709
3.274646323	2.604554736	3.542964256	3.181970527
3.276004257	2.606264135	3.543542699	3.217947341
3.324821677	2.667716651	3.564337576	3.149769501
3.268847897	2.597255541	3.540494287	3.222333416
3.317108922	2.658007653	3.561052155	3.154719314
3.318558889	2.659832905	3.561669801	3.191865952
			
			
			
			
3.187012162	2.919612484	3.502168506	3.067490734
			
3.180396954	2.908914502	3.499369926	3.072687599
3.181640839	2.910926088	3.499896154	3.108158984
3.226339151	2.98321131	3.518805889	3.036595699
3.276324191	2.606666876	3.505505107	3.179577381
3.325166564	2.668150802	3.524849776	3.109913451
3.326634336	2.669998467	3.525431106	3.147237964
			
3.318900521	2.66026296	3.522368027	3.152209268
			
			
			
2.814595281	2.820846314	3.418355961	3.258468777
2.84609002	2.891245787	3.434530879	3.191135867
2.847036845	2.893362205	3.435017145	3.228937016
			
2.842048185	2.882211165	3.432455092	3.233478226
			
			
			
			
			
			
			
			
			
			
			
2.847259936	2.893860874	3.395032475	3.188634692
