Concept 1	Concept 2	Concept 3	Concept 4















3.335085766	2.57796345	3.710921519	3.099505227











3.342765501	2.587040275	3.677743734	3.057058187

3.335410773	2.578347582	3.674031529	3.062222961
3.336793821	2.579982233	3.674729605	3.09707381
3.38645969	2.638683274	3.699797817	3.026374439



2.892754389	2.635368452	3.674617633	3.213131265

2.887817334	2.626324638	3.670886905	3.217482758
2.888745701	2.628025243	3.671588434	3.252832517
2.922096088	2.689117265	3.696789944	3.187269656
2.979431357	2.484567237	3.598273835	3.244514369
3.016609447	2.540919706	3.620983624	3.177878149
3.017726351	2.542612646	3.621665871	3.214975477

3.011841067	2.533692062	3.618070916	3.219515098




2.892975088	2.635772734	3.637146411	3.175298746
2.893914279	2.637493166	3.637816533	3.210809717
2.927661063	2.699311316	3.661895191	3.143264743
2.888964423	2.628425903	3.634284762	3.215179687
2.922331535	2.689548562	3.658092521	3.148186794
2.923333527	2.691384035	3.658807452	3.184836998
2.959382904	2.75742013	3.684529033	3.113968246
3.017989508	2.543011526	3.582458721	3.175404594














3.180104656	2.374825594	3.803755603	3.377426562
3.229393478	2.18401272	3.705476126	3.428303045
3.274646323	2.22759514	3.731444054	3.370450324
3.276004257	2.228902949	3.732223292	3.406627934
3.324821677	2.275918366	3.760236719	3.345668643
3.268847897	2.222010753	3.728116681	3.40995581
3.317108922	2.268490312	3.755810825	3.349477985
3.318558889	2.269886756	3.756642875	3.386839027




3.187012162	2.38287286	3.770538318	3.335860546

3.180396954	2.375166122	3.766244115	3.339561789
3.181640839	2.376615252	3.767051572	3.375314402
3.226339151	2.428688925	3.796067081	3.313856892
3.276324191	2.229211073	3.694233008	3.368305282
3.325166564	2.276250521	3.720799916	3.305863591
3.326634336	2.277664113	3.721598284	3.343405141

3.318900521	2.270215778	3.717391618	3.347232859



2.814595281	2.275170271	3.691193983	3.531306798
2.84609002	2.324472243	3.717917651	3.474522639
2.847036845	2.325954408	3.718721044	3.512640915

2.842048185	2.318145141	3.714488104	3.515511238











2.847259936	2.326303634	3.678811095	3.472413312
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
