Concept 1	Concept 2	Concept 3	Concept 4















3.335085766	2.57796345	3.894113033	3.282696742











3.342765501	2.587040275	3.86198901	3.241303463

3.335410773	2.578347582	3.857267639	3.245459071
3.336793821	2.579982233	3.858155487	3.280499693
3.38645969	2.638683274	3.890038517	3.216615139



2.892754389	2.635368452	3.9409124	3.479426032

2.887817334	2.626324638	3.935709025	3.482304878
2.888745701	2.628025243	3.936687471	3.517931554
2.922096088	2.689117265	3.971836884	3.462316595
2.979431357	2.484567237	3.785532865	3.431773399
3.016609447	2.540919706	3.815350791	3.372245317
3.017726351	2.542612646	3.816246581	3.409556187

3.011841067	2.533692062	3.811526409	3.412970592




2.892975088	2.635772734	3.903507009	3.441659344
2.893914279	2.637493166	3.904457277	3.477450461
2.927661063	2.699311316	3.938602077	3.419971629
2.888964423	2.628425903	3.899449041	3.480343966
2.922331535	2.689548562	3.933209691	3.423303964
2.923333527	2.691384035	3.934223501	3.460253047
2.959382904	2.75742013	3.970698051	3.400137264
3.017989508	2.543011526	3.777089745	3.370035618














3.180104656	2.374825594	4.070563708	3.644234666
3.229393478	2.18401272	3.887264462	3.610091381
3.274646323	2.22759514	3.919923852	3.558930122
3.276004257	2.228902949	3.920903885	3.595308527
3.324821677	2.275918366	3.956135862	3.541567786
3.268847897	2.222010753	3.915739075	3.597578204
3.317108922	2.268490312	3.950569496	3.544236655
3.318558889	2.269886756	3.95161595	3.581812101




3.187012162	2.38287286	4.03890813	3.604230358

3.180396954	2.375166122	4.033118305	3.606435979
3.181640839	2.376615252	4.03420699	3.642469819
3.226339151	2.428688925	4.073328274	3.591118084
3.276324191	2.229211073	3.88296091	3.557033183
3.325166564	2.276250521	3.916750056	3.501813731
3.326634336	2.277664113	3.917765461	3.539572318

3.318900521	2.270215778	3.912415209	3.542256451



2.814595281	2.275170271	3.964032004	3.80414482
2.84609002	2.324472243	4.001304422	3.757909411
2.847036845	2.325954408	4.002424942	3.796344813

2.842048185	2.318145141	3.996521116	3.79754425











2.847259936	2.326303634	3.962589715	3.756191931
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
