Concept 1	Concept 2	Concept 3	Concept 4
3.401504887	1.861547514	4.214749319	3.047348827
3.445212582	1.888415958	4.252632806	2.986452942
3.446516824	1.889217715	4.253763254	3.016752662
3.493123792	1.91786843	4.294159675	2.952852164
3.439638641	1.884989488	4.247801613	3.021428
3.48579636	1.913364036	4.28780865	2.957990991
3.487174916	1.914211476	4.289003508	2.989115956
3.536483379	1.944522882	4.331741441	2.922443502
3.358654998	1.923230917	4.158528468	3.050738816
3.404161595	1.954153482	4.197332056	2.985450539
3.405522647	1.955078342	4.198492628	3.017993461
3.454279284	1.988209368	4.240067533	2.949238985
3.398346918	1.950202302	4.192373866	3.023006979
3.446598438	1.982990093	4.233518056	2.95478863
3.448043043	1.983971728	4.234749874	2.988285433
3.499848677	2.019174604	4.278924666	2.916313712
3.446824047	1.889406574	4.221693468	2.984207762
3.493451134	1.918069657	4.261065227	2.919244424
3.494843938	1.918925856	4.262241306	2.950493758
3.544670776	1.949555923	4.304314925	2.882178656
3.487499654	1.914411102	4.256039817	2.955650063
3.53683001	1.944735967	4.297694208	2.887852729
3.53830494	1.945642651	4.298939634	2.919980477
3.591122408	1.978111148	4.343538529	2.848563321
3.405843278	1.955296216	4.164034418	2.983037831
3.454622549	1.988442623	4.204423521	2.913054252
3.456083232	1.989435184	4.205632963	2.946695136
3.508476168	2.025037142	4.249014172	2.872812911
3.448383369	1.984202986	4.199257498	2.952265081
3.500213793	2.019422707	4.242172948	2.878986851
3.501767523	2.020478495	4.243459432	2.913647928
3.557562656	2.058392308	4.289657651	2.83613374
3.211552337	1.845094913	4.240268434	3.052975388
3.253983295	1.874691807	4.283705087	2.984786737
3.255254291	1.875578365	4.285006207	3.018815225
3.300859126	1.907389136	4.331691964	2.946836499
3.248554622	1.870905141	4.278147743	3.024052102
3.293665195	1.902371149	4.324327523	2.952660638
3.295017947	1.903314735	4.325712338	2.987733479
3.343613793	1.937211828	4.375459998	2.912222716
3.147852601	1.913371255	4.17888871	3.05725534
3.191423769	1.94804178	4.223637973	2.983510982
3.192732733	1.949083352	4.224982329	3.020394767
3.239847633	1.986573701	4.273371141	2.942197112
3.185835426	1.943595015	4.21789853	3.026059605
3.232396356	1.980644558	4.265718393	2.948554331
3.23379695	1.981759042	4.267156858	2.986668248
3.284280562	2.021929948	4.319005466	2.904288195
3.255553723	1.875787229	4.248994549	2.982262982
3.301180713	1.907613454	4.294383178	2.908938148
3.302549237	1.908568041	4.295744552	2.944168973
3.351722684	1.942868029	4.344661111	2.866557858
3.295336653	1.903537042	4.288569647	2.950015409
3.34395687	1.937451135	4.336935866	2.873069624
3.345416903	1.938469552	4.338388272	2.90942095
3.397945528	1.97510988	4.39064248	2.827799228
3.193041143	1.94932876	4.185931182	2.98077357
3.240180892	1.986838883	4.232790001	2.900989374
3.241599247	1.987967499	4.234199903	2.939289918
3.292736607	2.028658607	4.285032509	2.854416097
3.234126965	1.982021641	4.226772152	2.945673561
3.284638139	2.02221448	4.276982304	2.861592713
3.286160068	2.023425512	4.278495163	2.901221184
3.341115156	2.06715447	4.333122744	2.811544497
3.614093479	1.672245129	4.145236516	3.228586436
3.669038737	1.695128985	4.184221443	3.168285854
3.670682985	1.695813789	4.185388074	3.201540968
3.729618838	1.720359666	4.22720442	3.138097623
